quote,value
AUD.FUTURE.5,99.14
AUD.FUTURE.6,99.14
JPY.DEPOSIT.3M,-0.09233
JPY.FRA3M.1M,-0.12
JPY.FRA3M.2M,-0.1395
JPY.FRA3M.3M,-0.165
JPY.FRA3M.4M,-0.135
JPY.FRA3M.5M,-0.14
JPY.FRA3M.6M,-0.15
JPY.FRA3M.7M,-0.1575
JPY.FRA3M.8M,-0.1622
JPY.FRA3M.9M,-0.175
JPY.BASIS3M6M.18M,6.25495
JPY.BASIS3M6M.2Y,6.125
JPY.BASIS3M6M.3Y,6.0
JPY.BASIS3M6M.4Y,6.125
JPY.BASIS3M6M.5Y,6.25
JPY.BASIS3M6M.6Y,6.375
JPY.BASIS3M6M.7Y,6.5
JPY.BASIS3M6M.8Y,6.625
JPY.BASIS3M6M.9Y,6.75
JPY.BASIS3M6M.10Y,6.875
JPY.BASIS3M6M.12Y,6.8125
JPY.BASIS3M6M.15Y,6.6875
JPY.BASIS3M6M.20Y,6.5
JPY.BASIS3M6M.25Y,6.4375
JPY.BASIS3M6M.30Y,6.375
JPY.BASIS3M6M.35Y,6.3125
JPY.BASIS3M6M.40Y,6.3125
HUF.DEPOSIT.3M,0.21
HUF.FRA3M.1M,0.2175
HUF.FRA3M.2M,0.225
HUF.FRA3M.3M,0.235
HUF.FRA3M.4M,0.2394
HUF.FRA3M.5M,0.2508
HUF.FRA3M.6M,0.27
HUF.FRA3M.9M,0.32
HUF.FRA3M.12M,0.325
HUF.BASIS6M3M.2Y,4.5
HUF.BASIS6M3M.3Y,5.0
HUF.BASIS6M3M.4Y,5.0
HUF.BASIS6M3M.5Y,4.75
HUF.BASIS6M3M.6Y,3.9
HUF.BASIS6M3M.7Y,3.8
HUF.BASIS6M3M.8Y,3.7
HUF.BASIS6M3M.9Y,3.7
HUF.BASIS6M3M.10Y,3.7
CZK.DEPOSIT.3M,2.14
CZK.FRA3M.1M,2.132
CZK.FRA3M.2M,2.121
CZK.FRA3M.3M,2.115
CZK.FRA3M.4M,2.09
CZK.FRA3M.5M,2.06
CZK.FRA3M.6M,2.048
