quote,ticker
CHF.SWAP3M.8Y,SFSW8V3 BGN  Curncy
CHF.SWAP3M.9Y,SFSW9V3 BGN  Curncy
CHF.SWAP3M.10Y,SFSW10V3 BGN  Curncy
CHF.SWAP3M.11Y,SFSW11V3 BGN  Curncy
CHF.SWAP3M.12Y,SFSW12V3 BGN  Curncy
CHF.SWAP3M.15Y,SFSW15V3 BGN  Curncy
CHF.SWAP3M.20Y,SFSW20V3 BGN  Curncy
CHF.SWAP3M.25Y,SFSW25V3 BGN  Curncy
CHF.SWAP3M.30Y,SFSW30V3 BGN  Curncy

HUF.DEPOSIT.6M,BUBOR06M Index
HUF.FRA.1M,HFFR0AG CMPN Curncy
HUF.FRA.2M,HFFR0BH CMPN Curncy
HUF.FRA.3M,HFFR0CI CMPN Curncy
HUF.FRA.4M,HFFR0DJ CMPN Curncy
HUF.FRA.5M,HFFR0EK CMPN Curncy
HUF.FRA.6M,HFFR0F1 CMPN Curncy
HUF.SWAP.2Y,HFSW2 CMPN Curncy
HUF.SWAP.3Y,HFSW3 CMPN Curncy
HUF.SWAP.4Y,HFSW4 CMPN Curncy
HUF.SWAP.5Y,HFSW5 CMPN Curncy
HUF.SWAP.6Y,HFSW6 CMPN Curncy
HUF.SWAP.7Y,HFSW7 CMPN Curncy
HUF.SWAP.8Y,HFSW8 CMPN Curncy
HUF.SWAP.9Y,HFSW9 CMPN Curncy
HUF.SWAP.10Y,HFSW10 CMPN Curncy
HUF.SWAP.12Y,HFSW12 CMPN Curncy
HUF.SWAP.15Y,HFSW15 CMPN Curncy
HUF.SWAP.20Y,HFSW20 CMPN Curncy

JPY.ON.1D,MUTKCALM Index
JPY.OIS.1W,JYSO1Z BGN  Curncy
JPY.OIS.2W,JYSO2Z BGN  Curncy
JPY.OIS.3W,JYSO3Z BGN  Curncy
JPY.OIS.1M,JYSOA BGN  Curncy
JPY.OIS.2M,JYSOB BGN  Curncy
JPY.OIS.3M,JYSOC BGN  Curncy
JPY.OIS.4M,JYSOD BGN  Curncy
JPY.OIS.5M,JYSOE BGN  Curncy
JPY.OIS.6M,JYSOF BGN  Curncy
JPY.OIS.7M,JYSOG BGN  Curncy
JPY.OIS.8M,JYSOH BGN  Curncy
JPY.OIS.9M,JYSOI BGN  Curncy
JPY.OIS.10M,JYSOJ BGN  Curncy
JPY.OIS.11M,JYSOK BGN  Curncy
JPY.OIS.12M,JYSO1 BGN  Curncy
JPY.OIS.18M,JYSO1F BGN  Curncy
JPY.OIS.2Y,JYSO2 BGN  Curncy
JPY.OIS.3Y,JYSO3 BGN  Curncy
JPY.OIS.4Y,JYSO4 BGN  Curncy
JPY.OIS.5Y,JYSO5 BGN  Curncy
JPY.OIS.6Y,JYSO6 BGN  Curncy
JPY.OIS.7Y,JYSO7 BGN  Curncy
JPY.OIS.8Y,JYSO8 BGN  Curncy
JPY.OIS.9Y,JYSO9 BGN  Curncy
JPY.OIS.10Y,JYSO10 BGN  Curncy
JPY.OIS.11Y,JYSO11 BGN  Curncy
JPY.OIS.12Y,JYSO12 BGN  Curncy
JPY.OIS.15Y,JYSO15 BGN  Curncy
JPY.OIS.20Y,JYSO20 BGN  Curncy
JPY.OIS.25Y,JYSO25 BGN  Curncy
JPY.OIS.30Y,JYSO30 BGN  Curncy
JPY.OIS.35Y,JYSO35 BGN  Curncy
JPY.OIS.40Y,JYSO40 BGN  Curncy
KRW.DEPOSIT.1D,KWCR1T CMPN Curncy
KRW.DEPOSIT.3M,KWCDC CMPN Curncy
KRW.SWAP.6M,KWSWOF BGN  Curncy
KRW.SWAP.9M,KWSWOI BGN  Curncy
KRW.SWAP.1Y,KWSWO1 BGN  Curncy
KRW.SWAP.2Y,KWSWO2 BGN  Curncy
KRW.SWAP.3Y,KWSWO3 BGN  Curncy
KRW.SWAP.4Y,KWSWO4 BGN  Curncy
KRW.SWAP.5Y,KWSWO5 BGN  Curncy
KRW.SWAP.7Y,KWSWO7 BGN  Curncy
KRW.SWAP.10Y,KWSWO10 BGN  Curncy
